Event	ID	Name			Wwise Object Path	Notes
	602787445	Play_Dragon_Base			\Default Work Unit\Play_Dragon_Base	
	630496935	Play_Player_Footstep_L			\Default Work Unit\Play_Player_Footstep_L	
	1368704831	Play_Player_Footsep_R			\Default Work Unit\Play_Player_Footsep_R	

State Group	ID	Name			Wwise Object Path	Notes
	3420125775	DragonState			\Default Work Unit\DragonState	

State	ID	Name	State Group			Notes
	748895195	None	DragonState			
	1942738266	Rage	DragonState			
	2799695215	Patrolling	DragonState			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28555664	dragon rage breathing placeholder	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\ESM_One_Shot_Vocal_Ancient_Dragon_Monster_Attack_2_Dinosaur_Creature_Roar_Growl_Moan_Groan_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dragon_Base\dragon rage breathing placeholder		174886
	34240644	armor_08_L_cm-St	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\armor_08.L.cm-St_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player-Footstep-L\Step_L_Armor\armor_08_L_cm-St		954464
	44272144	armor_02_L_cm-St	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\armor_02.L.cm-St_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player-Footstep-L\Step_L_Armor\armor_02_L_cm-St		954464
	130809785	armor_01_R_cm-St	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\armor_01.R.cm-St_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player-Footstep-R\Step_R_Armor\armor_01_R_cm-St		954464
	154772864	armor_09_L_cm-St	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\armor_09.L.cm-St_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player-Footstep-L\Step_L_Armor\armor_09_L_cm-St		954464
	160493586	armor_08_R_cm-St	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\armor_08.R.cm-St_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player-Footstep-R\Step_R_Armor\armor_08_R_cm-St		954464
	162905952	FNF_DSDZ_foley_footsteps_rocks_crunchy-32_L	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\Audio Files\FNF_DSDZ_foley_footsteps_rocks_crunchy-32.L_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player-Footstep-L\Step_L\FNF_DSDZ_foley_footsteps_rocks_crunchy-32_L		30816
	267161446	FNF_DSDZ_foley_footsteps_rocks_crunchy-32_R	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\Audio Files\FNF_DSDZ_foley_footsteps_rocks_crunchy-32.R_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player-Footstep-R\Step_R\FNF_DSDZ_foley_footsteps_rocks_crunchy-32_R		30816
	278270202	dragon idle breathing placeholder	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\BRS_Feet_Grass_Soft_Walking_Various_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dragon_Base\dragon idle breathing placeholder		7526496
	299120208	FNF_DSDZ_foley_footsteps_rocks_crunchy-37_L	F:\GitHub\Pyramind_GA_FPS\Pyramind_GameAudio_FPS_01_WwiseProject\.cache\Windows\SFX\Audio Files\FNF_DSDZ_foley_footsteps_rocks_crunchy-37.L_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player-Footstep-L\Step_L\FNF_DSDZ_foley_footsteps_rocks_crunchy-37_L		31840
